name,centroid_lat,centroid_lon
Quebec,53.38280815722059,-71.77247604123762
Newfoundland and Labrador,52.862525582570775,-60.46111446769293
British Columbia,54.76791885283666,-124.73662996308089
Nunavut,71.04893723390482,-88.89483029157653
Northwest Territories,66.34936244999341,-119.00123390050153
New Brunswick,46.62718734227422,-66.38040676601153
Nova Scotia,45.15018740306773,-63.326070015756414
Saskatchewan,54.41794558601707,-105.88938388600153
Alberta,55.16361492089171,-114.50705480180905
Prince Edward Island,46.400936772853285,-63.25773713341066
Yukon Territory,63.63374586543259,-135.50754669765246
Manitoba,54.925986598748736,-97.42889173663649
Ontario,50.451016395477566,-86.07296050192168
